Comment,Designator,Footprint,LCSC Part #
1.13k,R11,R0603,
1k,R6 R7 R8 R13 R14 R15 R16,R0603,
1k5,R5,R0603,
1u,C5 C18 C19,C0603,
4k7,R4 R10,R0603,
5K1,R1 R2,R0603,
10k,R3 R9,R0603,
10n,C1,C0603,
10u,C24,C1210,
22u,C2 C16 C22,C0805,
30p,C20 C21,C0603,
78L05F,U5,SOT89,
100n,C3 C4 C6 C8 C9 C10 C11 C12 C13 C14 C15 C17,C0603,
120,R12,R0603,
897-1AH-C-001,U$2,897-1AH-C-001,
5077CR-16SMC2-BK-TR,J2,NELTRON_5077CR-16SMC2-BK-TR,
AP2127N-3.3TRG1,U4,SOT95P240X110-3,C5446
BM02B-GHS-TBT_LF__SN_,J4 J5 J6 J8 J9 J10 J13 J14,BM02B-GHS-TBT_1,
CA-IS1044S,U$1,SOIC8,
EEEHA1E220P,C23,153CLV-0605,
GREEN,D1 D4,CHIPLED_0805,C2297
INDUCTOR125_125,U$5,INDUCTOR125_125,
RED,D3,CHIPLED_0805,C2286
SS54,D6,DIONM7959X262N,
STM32F302C,U1,LQFP48,
TLP172AM,IC2 IC3 IC4,11-4M1S,
TLP291,U2,MINI-FLAT-4,
TPB1 27,TP1,B1 27,
TPB1 27,TP2,B1 27,
TPB1 27,TP3,B1 27,
TPS5430DDAR,IC5,SOIC127P600X170-9N,
X50328MSB2GI,Y1,RESC5032X135N,
YELLOW,D2 D5,CHIPLED_0805,C72038
fuse,F2,,
