Designator,Mid X,Mid Y,Layer,Rotation
C1,51.00,84.40,Top,90.0
C2,52.60,74.90,Top,0.0
C3,42.53,65.01,Top,180.0
C4,42.58,67.11,Top,180.0
C5, 8.74,89.65,Top,180.0
C6, 8.72,87.59,Top,0.0
C8,19.77,82.79,Top,0.0
C9,10.32,73.79,Top,0.0
C10, 9.77,84.98,Top,270.0
C11, 6.87,82.67,Top,0.0
C12,17.53,70.62,Top,90.0
C13, 6.17,88.83,Top,270.0
C14,17.98,68.03,Top,180.0
C15, 7.10,59.50,Top,270.0
C16,52.60,77.20,Top,0.0
C17, 7.20,63.80,Top,90.0
C18,45.00,74.00,Top,270.0
C19,42.60,69.20,Top,180.0
C20,14.40,68.00,Top,0.0
C21,11.40,68.00,Top,180.0
C22,52.60,79.50,Top,0.0
C23,53.00,95.10,Top,270.0
C24,50.60,88.70,Top,90.0
D1, 2.27,70.23,Top,90.0
D2, 2.24,68.68,Top,90.0
D3, 2.25,67.15,Top,90.0
D4,41.00,98.00,Top,0.0
D5, 2.50,72.80,Top,90.0
D6,45.60,94.00,Top,90.0
F2,35.82,90.98,Top,0.0
IC2,28.00,82.00,Top,270.0
IC3,28.00,76.00,Top,270.0
IC4,28.00,70.00,Top,270.0
IC5,55.00,86.40,Top,90.0
J2,14.64,92.96,Top,180.0
J4, 3.39,52.40,Top,180.0
J5, 3.39,45.75,Top,180.0
J6,10.61,53.90,Top,0.0
J8,41.35,58.69,Top,270.0
J9,33.87,57.69,Top,270.0
J10,26.72,57.39,Top,270.0
J13,11.40,60.50,Top,0.0
J14,20.00,58.00,Top,270.0
R1,15.93,89.50,Top,90.0
R2,11.78,88.63,Top,180.0
R3,20.20,73.50,Top,90.0
R4,33.70,65.70,Top,180.0
R5,14.02,86.53,Top,180.0
R6, 5.95,70.75,Top,180.0
R7, 5.96,68.65,Top,180.0
R8, 5.97,66.55,Top,180.0
R9,54.00,81.60,Top,0.0
R10,41.00,94.00,Top,90.0
R11,57.10,81.60,Top,0.0
R12,42.70,62.80,Top,0.0
R13, 5.90,72.80,Top,180.0
R14,22.30,80.30,Top,0.0
R15,22.30,78.20,Top,0.0
R16,22.30,76.10,Top,0.0
TP1, 8.57,98.48,Top,0.0
TP2,10.09,82.78,Top,0.0
TP3, 8.71,91.68,Top,0.0
U$1, 3.30,61.70,Top,180.0
U$2,70.80,65.76,Top,180.0
U$5,49.00,89.00,Top,180.0
U1,14.90,78.49,Top,90.0
U2,28.00,66.00,Top,180.0
U4, 6.83,85.61,Top,90.0
U5,41.00,73.00,Top,90.0
Y1,12.90,71.00,Top,0.0
